Identifiant_de_l_etablissement;Nom_etablissement;Type_etablissement;Statut_public_prive;Adresse_1;Adresse_2;Adresse_3;Code_postal;Code_commune;Nom_commune;Code_departement;Code_academie;Code_region;Ecole_maternelle;Ecole_elementaire;Voie_generale;Voie_technologique;Voie_professionnelle;Telephone;Fax;Web;Mail;Restauration;Hebergement;ULIS;Apprentissage;Segpa;Section_arts;Section_cinema;Section_theatre;Section_sport;Section_internationale;Section_europeenne;Lycee_Agricole;Lycee_militaire;Lycee_des_metiers;Post_BAC;Appartenance_Education_Prioritaire;GRETA;SIREN_SIRET;Nombre_d_eleves;Fiche_onisep;position;Type_contrat_prive;Libelle_departement;Libelle_academie;Libelle_region;coordX_origine;coordY_origine;epsg_origine;nom_circonscription;latitude;longitude;precision_localisation;date_ouverture;date_maj_ligne;etat;ministere_tutelle;multi_uai;rpi_concentre;rpi_disperse;code_nature;libelle_nature;Code_type_contrat_prive;PIAL;etablissement_mere;type_rattachement_etablissement_mere;code_circonscription;code_zone_animation_pedagogique;libelle_zone_animation_pedagogique;code_bassin_formation;libelle_bassin_formation
9740993L;Ecole maternelle publique la Balance;Ecole;Public;2 chemin Trou de Sable;FLEURIMONT;97435 ST PAUL;97435;97415;Saint-Paul;974;28;04;1;0;;;;0262556665;;;ce.9740993L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP;;21974015600795;;;-21.03718091729464, 55.272430272571064;SANS OBJET;La Réunion;La Réunion;La Réunion;320479.9;7672765.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 2;-21.03718091729464;55.272430272571064;Numéro de rue;1987-09-15;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740932V;;;9740087B;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741063M;Ecole élémentaire publique Georges Thiébaut;Ecole;Public;21 avenue Lénine Zac 1;;97420 LE PORT;97420;97407;Le Port;974;28;04;0;1;;;;0262432767;;;ce.9741063M@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974007300396;;;-20.94366775573312, 55.2989724132115;SANS OBJET;La Réunion;La Réunion;La Réunion;323128.5;7683148.1;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.94366775573312;55.2989724132115;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741074Z;Ecole élémentaire publique Gabriel Macé;Ecole;Public;Rue de la Source;;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;0;1;;;;0262212295;;;ce.9741074Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011501088;;;-20.889872294416982, 55.44900984019044;SANS OBJET;La Réunion;La Réunion;La Réunion;338674.7;7689261.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.889872294416982;55.44900984019044;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740081V;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741203P;Ecole Primaire Publique les Baies Roses;Ecole;Public;7 rue Pierre de Coubertin;;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;1;1;;;;0262294472;;;ce.9741203P@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974011501104;;;-20.905079700038833, 55.48066399095595;SANS OBJET;La Réunion;La Réunion;La Réunion;341983.7;7687609.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.905079700038833;55.48066399095595;Numéro de rue;1995-11-05;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741241F;Ecole maternelle publique Anne Mousse;Ecole;Public;37 rue des Macabits;LA SALINE LES BAINS;97434 ST PAUL;97434;97415;Saint-Paul;974;28;04;1;0;;;;0262339358;;;ce.9741241F@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600894;;;-21.091538024302153, 55.239350425507375;SANS OBJET;La Réunion;La Réunion;La Réunion;317108.1;7666710.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.091538024302153;55.239350425507375;Numéro de rue;1997-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740932V;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741257Y;Ecole maternelle publique Edmond Albius;Ecole;Public;Rue de Prétoria;LE GOL;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262910276;;;ce.9741257Y@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900394;;;-21.275761397865864, 55.40328971598417;SANS OBJET;La Réunion;La Réunion;La Réunion;334346.6;7646494.9;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.275761397865864;55.40328971598417;Rue;1998-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9741362M;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741267J;Ecole primaire publique  la Chaumière;Ecole;Public;2 rue de la chaumière;ST FRANCOIS;97400 ST DENIS;97400;97411;Saint-Denis;974;28;04;1;1;;;;0262303452;;;ce.9741267J@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974011501153;;;-20.899343575732214, 55.46259265182948;SANS OBJET;La Réunion;La Réunion;La Réunion;340097.8;7688226.8;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 3;-20.899343575732214;55.46259265182948;Numéro de rue;1999-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740645H;;;9740086A;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741309E;Ecole élémentaire publique René Périanayagom;Ecole;Public;25 rue des Petits Nattes;PALISSADE;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;0;1;;;;0262260082;;;ce.9741309E@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974014900378;;;-21.28288028097068, 55.418044992015766;SANS OBJET;La Réunion;La Réunion;La Réunion;335885.6;7645722.2;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.28288028097068;55.418044992015766;Numéro de rue;2000-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741315L;Ecole maternelle publique Noé Fougeroux;Ecole;Public;23 rue des Petits Nattes;ZAC PALISSADE;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262261890;;;ce.9741315L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900386;;;-21.28293595763646, 55.4171452150795;SANS OBJET;La Réunion;La Réunion;La Réunion;335792.3;7645715.1;EPSG:2975;Circonscription d'inspection du 1er degré Saint-Louis/Cilaos;-21.28293595763646;55.4171452150795;Numéro de rue;2001-08-20;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9740058V;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741532X;Centre Académique de Lecture Ecriture;Ecole;Public;5 impasse des Ecoles;;97431 LA PLAINE DES PALMISTES;97431;97406;La Plaine-des-Palmistes;974;28;04;0;0;;;;0262475431;;;ce.9741532X@ac-reunion.fr;1;1;0;;;;;;;;;;;;;;;50514785000018;;;-21.136350923077533, 55.62739798187458;SANS OBJET;La Réunion;La Réunion;La Réunion;357466.9;7662146.2;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Benoît;-21.136350923077533;55.62739798187458;Numéro de rue;2002-02-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;170;ECOLE SANS EFFECTIFS PERMANENTS;99;;;;9740060X;;;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9741614L;Ecole primaire publique du Ruisseau;Ecole;Public;3 chemin Sincère Mazeau;;97425 LES AVIRONS;97425;97401;Les Avirons;974;28;04;1;1;;;;0262279327;;;ce.9741614L@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974001600155;;;-21.234436326739385, 55.33178118412562;SANS OBJET;La Réunion;La Réunion;La Réunion;326878.0;7650993.3;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.234436326739385;55.33178118412562;Numéro de rue;2015-08-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741387P;;;9741362M;;;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741616N;Ecole maternelle publique Arthur Alméry;Ecole;Public;32 rue Pablo Picasso;;97419 LA POSSESSION;97419;97408;La Possession;974;28;04;1;0;;;;0262557522;;;ce.9741616N@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974008100241;;;-20.938223756899724, 55.33172458786405;SANS OBJET;La Réunion;La Réunion;La Réunion;326528.5;7683786.6;EPSG:2975;Circonscription d'inspection du 1er degré de La Possession;-20.938223756899724;55.33172458786405;Numéro de rue;2015-08-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740084Y;;;9741083J;;;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741636K;Ecole privée La Cité du Savoir;Ecole;Privé;15 rue Nantier Didiée;Sainte Clotilde;97490 ST DENIS;97490;97411;Saint-Denis;974;28;04;0;1;;;;0262464122;;;ecolecitedusavoir@gmail.com;0;0;0;;;;;;;;;;;;;;;;;;-20.89838218750316, 55.47912126708762;HORS CONTRAT;La Réunion;La Réunion;La Réunion;341816.2;7688349.6;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Denis 2;-20.89838218750316;55.47912126708762;Numéro de rue;2012-08-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;9740062Z;;;;
9741638M;Ecole primaire privée les Petits Curieux;Ecole;Privé;1 rue des Frères Lumière;;97430 LE TAMPON;97430;97422;Le Tampon;974;28;04;1;1;;;;0692710996;;;contact@lespetitscurieux.re;0;0;0;;;;;;;;;;;;;;;;;;-21.268654327360302, 55.51303147261035;HORS CONTRAT;La Réunion;La Réunion;La Réunion;345726.5;7647392.9;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.268654327360302;55.51303147261035;Numéro de rue;2016-08-22;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;9740057U;;;;
9741651B;Ecole maternelle privée My Sweety School;Ecole;Privé;48 chemin Maxime Rivière;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;0;;;;0692221255;;;mysweetyschool974@gmail.com;1;0;0;;;;;;;;;;;;;;;;;;-21.34925558611151, 55.51273958763128;HORS CONTRAT;La Réunion;La Réunion;La Réunion;345780.4;7638469.7;EPSG:2975;Circonscription d'inspection du 1er degré du Tampon 1;-21.34925558611151;55.51273958763128;Numéro de rue;2018-08-17;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;10;;;;9740057U;;;;
9741722D;Ecole primaire privée Montessori Saint Pierre;Ecole;Privé;48 chemin Maxime Rivière;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;1;;;;0692221255;;;mysweetyschool974@gmail.com;0;0;0;;;;;;;;;;;;;;;;;;-21.34925558611151, 55.51273958763128;HORS CONTRAT;La Réunion;La Réunion;La Réunion;345780.4;7638469.7;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 1;-21.34925558611151;55.51273958763128;Numéro de rue;2020-01-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;9740056T;;;;
9741764Z;Ecole élémentaire privée Les Créateurs;Ecole;Privé;216 rue Marius et Ary Leblond;;97410 ST PIERRE;97410;97416;Saint-Pierre;974;28;04;1;1;;;;0692625939;;;lecoledescreateurs@gmail.com;1;0;0;;;;;;;;;;;;;;;;;;-21.334907193158283, 55.46439503060078;HORS CONTRAT;La Réunion;La Réunion;La Réunion;340751.0;7640010.0;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Pierre 2;-21.334907193158283;55.46439503060078;Numéro de rue;2020-08-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;10;;;;9740857N;;;;
9741918S;Ecole élémentaire publique Zac Avenir;Ecole;Public;1 rue d'Australie;;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;1;;;;0262913054;;;ce.9741918S@ac-reunion.fr;1;0;1;;;;;;;;;;;;;REP+;;21974014900485;;;-21.290543082323886, 55.404771480484975;SANS OBJET;La Réunion;La Réunion;La Réunion;334516.9;7644860.0;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.290543082323886;55.404771480484975;Numéro de rue;2024-08-14;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9741189Z;;;9741362M;;;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741919T;Ecole maternelle publique Zac Avenir;Ecole;Public;3 rue d'Australie;;97450 ST LOUIS;97450;97414;Saint-Louis;974;28;04;1;0;;;;0262912467;;;ce.9741919T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974014900493;;;-21.290543082323886, 55.404771480484975;SANS OBJET;La Réunion;La Réunion;La Réunion;334516.9;7644860.0;EPSG:2975;Circonscription d'inspection du 1er degré Avirons-l'étang-salé-Le Gol;-21.290543082323886;55.404771480484975;Numéro de rue;2024-08-14;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9741189Z;;;9741362M;;;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741966U;Ecole maternelle publique de Beauséjour Sainte Marie;Ecole;Public;100 rue du marché;;97438 STE MARIE;97438;97418;Sainte-Marie;974;28;04;1;0;;;;0262800460;;;ce.9741966U@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974018000282;;;;SANS OBJET;La Réunion;La Réunion;La Réunion;;;EPSG:2975;Circonscription d'inspection du 1er degré de Sainte Marie;;;;2025-08-18;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740921H;;;9740088C;;;;
9741088P;Collège privé Marthe Robin;Collège;Privé;136 rue Jules Bertaut;;;97430;97422;Le Tampon;974;28;04;;;0;0;0;02 62 83 18 38;02 62 59 89 72;http://www.martherobin.re/;ce.9741088p@ac-reunion.fr;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;;0;35245587700014;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1012;-21.279814654584726, 55.518353032266454;CONTRAT ASSOCIATION PARTIE DES CLASSES;La Réunion;La Réunion;La Réunion;346290.3;7646162.6;EPSG:2975;;-21.279814654584726;55.518353032266454;Numéro de rue;1989-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;31;9741581A;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740479C;Lycée professionnel Amiral Lacaze;Lycée;Public;1 avenue Stanislas Gimart;BP 192;;97493;97411;Saint-Denis;974;28;04;;;0;0;1;02 62 28 37 75;;https://etab.ac-reunion.fr/lyc-amiral-lacaze;ce.9740479c@ac-reunion.fr;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;;1;19974479800018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4976;-20.89205560468384, 55.47591964282426;SANS OBJET;La Réunion;La Réunion;La Réunion;341476.5;7689046.8;EPSG:2975;;-20.89205560468384;55.47591964282426;Numéro de rue;1970-06-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;320;LYCEE PROFESSIONNEL;99;9740645H;;;;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9741346V;Collège Ligne des Bambous;Collège;Public;37 rue Félix Baillif;Ligne des bambous;;97432;97416;Saint-Pierre;974;28;04;;;0;0;0;02 62 55 19 30;02 62 55 19 40;https://etab.ac-reunion.fr/clg-ligne-des-bambous;ce.9741346v@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP;0;20001114600012;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17968;-21.29797491776404, 55.494852849027374;SANS OBJET;La Réunion;La Réunion;La Réunion;343871.1;7644129.1;EPSG:2975;;-21.29797491776404;55.494852849027374;Numéro de rue;2008-01-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740027L;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741050Y;Lycée général et technologique Louis Payen;Lycée;Public;329 rue Saint-Louis;BP 114;;97863;97415;Saint-Paul;974;28;04;;;1;1;0;02 62 22 56 39;02 62 45 62 48;https://etab.ac-reunion.fr/lyc-louis-payen;ce.9741050y@ac-reunion.fr;1;0;0;0;0;0;0;0;1;0;1;0;0;0;1;;1;19974150500010;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4977;-21.000529435017643, 55.281434349157884;SANS OBJET;La Réunion;La Réunion;La Réunion;321372.1;7676833.5;EPSG:2975;;-21.000529435017643;55.281434349157884;Numéro de rue;1991-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;9740093H;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741052A;Lycée polyvalent Gérard Ethève;Lycée;Public;Chemin départemental 11;BP 17;;97424;97413;Saint-Leu;974;28;04;;;1;1;1;02 62 34 20 20;02 62 34 20 18;https://etab.ac-reunion.fr/lyc-gerard-etheve;ce.9741052a@ac-reunion.fr;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;;1;19974152100017;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15547;-21.167091437420737, 55.287350417601395;SANS OBJET;La Réunion;La Réunion;La Réunion;322185.5;7658399.9;EPSG:2975;;-21.167091437420737;55.287350417601395;Ville;1994-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9740546A;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9741380G;Lycée polyvalent Paul Vergès;Lycée;Public;Canal Traverse;BP 20;;97411;97415;Saint-Paul;974;28;04;;;1;1;1;02 62 33 06 50;02 62 33 17 22;https://etab.ac-reunion.fr/lyc-saint-paul4;ce.9741380G@ac-reunion.fr;1;1;1;1;0;0;1;0;1;0;1;0;0;0;1;;1;20000564300016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15075;-20.978320417720937, 55.31721038832109;SANS OBJET;La Réunion;La Réunion;La Réunion;325065.6;7679331.8;EPSG:2975;;-20.978320417720937;55.31721038832109;Numéro de rue;2007-06-12;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;306;LYCEE POLYVALENT;99;9740093H;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740001H;Lycée général et technologique Leconte de Lisle;Lycée;Public;3 allée des étudiants;Cité scolaire du Butor, BP 40037;;97490;97411;Saint-Denis;974;28;04;;;1;1;0;02 62 94 79 20;02 62 94 79 21;https://etab.ac-reunion.fr/lyc-leconte-de-lisle;ce.9740001h@ac-reunion.fr;1;1;0;0;0;1;1;0;1;1;1;0;0;0;1;;1;19974001000020;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9439;-20.88738991843578, 55.4697562920468;SANS OBJET;La Réunion;La Réunion;La Réunion;340830.4;7689557.2;EPSG:2975;;-20.88738991843578;55.4697562920468;Numéro de rue;1965-11-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;300;LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE;99;9740081V;;;;974001;BASSIN D'EDUCATION ET DE FORMATION NORD;28010;BASSIN D'EDUCATION ET DE FORMATION NORD
9740011U;Collège Hégésippe Hoarau;Collège;Public;3 rue de la place des Fêtes;BP 51;;97899;97414;Saint-Louis;974;28;04;;;0;0;0;02 62 39 02 57;02 62 39 07 61;https://etab.ac-reunion.fr/clg-hegesippe-hoarau;ce.9740011u@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;;0;19974011900011;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1028;-21.260157353842665, 55.43711579804383;SANS OBJET;La Réunion;La Réunion;La Réunion;337839.5;7648257.5;EPSG:2975;;-21.260157353842665;55.43711579804383;Rue;1965-11-23;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740011U;;;;974005;BASSIN D'EDUCATION ET DE FORMATION SUD-O;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9741047V;Collège la Marine;Collège;Public;4 route de la Marine;;;97480;97412;Saint-Joseph;974;28;04;;;0;0;0;02 62 37 20 39;02 62 37 27 66;https://etab.ac-reunion.fr/clg-la-marine;ce.9741047v@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;1;19974147100015;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11782;-21.37601235908683, 55.666539906341406;SANS OBJET;La Réunion;La Réunion;La Réunion;361755.9;7635650.7;EPSG:2975;;-21.37601235908683;55.666539906341406;Numéro de rue;1992-08-27;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740468R;;;;974006;BASSIN D'EDUCATION ET DE FORMATION SUD-E;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740702V;Collège Hubert Delisle;Collège;Public;79 rue Montfleury;;;97470;97410;Saint-Benoît;974;28;04;;;0;0;0;02 62 50 15 65;02 62 50 63 76;https://etab.ac-reunion.fr/clg-hubert-delisle;ce.9740702v@ac-reunion.fr;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;REP+;0;19974702300018;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15042;-21.032460287583415, 55.708168186384896;SANS OBJET;La Réunion;La Réunion;La Réunion;365762.0;7673716.7;EPSG:2975;;-21.032460287583415;55.708168186384896;Numéro de rue;1976-02-02;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740083X;;;;974002;BASSIN D'EDUCATION ET DE FORMATION EST;28011;BASSIN D'EDUCATION ET DE FORMATION EST
9741190A;Collège de Plateau Caillou;Collège;Public;3 avenue Blanche Pierson;BP 545;;97867;97415;Saint-Paul;974;28;04;;;0;0;0;02 62 55 45 25;02 62 55 56 63;https://etab.ac-reunion.fr/clg-plateau-caillou;ce.9741190a@ac-reunion.fr;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;REP;0;19974956500016;;https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13981;-21.021133900516794, 55.26730113396791;SANS OBJET;La Réunion;La Réunion;La Réunion;319927.5;7674536.5;EPSG:2975;;-21.021133900516794;55.26730113396791;Numéro de rue;1997-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;340;COLLEGE;99;9740932V;;;;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740102T;Ecole maternelle publique les Bougainvilliers;Ecole;Public;34 ruelle des Ajoncs;HERMITAGE LES BAINS;97434 ST PAUL;97434;97415;Saint-Paul;974;28;04;1;0;;;;0262338015;;;ce.9740102T@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974015600811;;;-21.08299394504366, 55.22725956665734;SANS OBJET;La Réunion;La Réunion;La Réunion;315841.3;7667642.1;EPSG:2975;Circonscription d'inspection du 1er degré de Saint-Paul 1;-21.08299394504366;55.22725956665734;Numéro de rue;1990-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740932V;;;9740059W;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
9740108Z;Ecole primaire publique les Platanes;Ecole;Public;9 rue du Plateau Vert;Piton des Goyaves / BP 27;97429 PETITE ILE;97429;97405;Petite-Ile;974;28;04;1;1;;;;0262389079;;;ce.9740108Z@ac-reunion.fr;1;0;0;;;;;;;;;;;;;;;21974005700043;;;-21.321063024477706, 55.55579442624677;SANS OBJET;La Réunion;La Réunion;La Réunion;350217.0;7641632.3;EPSG:2975;Circonscription d'inspection du 1er degré de Petite Ile;-21.321063024477706;55.55579442624677;Numéro de rue;1968-09-16;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;151;ECOLE DE NIVEAU ELEMENTAIRE;99;9740952S;;;9741508W;974003;BASSIN D'EDUCATION ET DE FORMATION SUD;28015;BASSIN D'ETUDE ET DE FORMATION SUD
9740100R;Ecole maternelle publique Georges Thiébaut;Ecole;Public;23 avenue Lénine;;97420 LE PORT;97420;97407;Le Port;974;28;04;1;0;;;;0262433785;;;ce.9740100R@ac-reunion.fr;1;0;0;;;;;;;;;;;;;REP+;;21974007300313;;;-20.94366775573312, 55.2989724132115;SANS OBJET;La Réunion;La Réunion;La Réunion;323128.5;7683148.1;EPSG:2975;Circonscription d'inspection du 1er degré du Port;-20.94366775573312;55.2989724132115;Numéro de rue;1990-09-01;2025-12-07;OUVERT;MINISTERE DE L'EDUCATION NATIONALE;0;0;;101;ECOLE MATERNELLE;99;9740812P;;;9740815T;974004;BASSIN D'EDUCATION ET DE FORMATION OUEST;28012;BASSIN D'EDUCATION ET DE FORMATION OUEST
